Country,date,vaccine,total_vaccinations
France,2021/6/28,Moderna,4989590
France,2021/6/28,Oxford/AstraZeneca,6743741
France,2021/6/28,Pfizer/BioNTech,41204068
France,2021/6/29,Johnson&Johnson,562408
France,2021/6/29,Moderna,5069389
France,2021/6/29,Oxford/AstraZeneca,6800748
France,2021/6/29,Pfizer/BioNTech,41748722
France,2021/6/30,Johnson&Johnson,568897
France,2021/6/30,Moderna,5143569
France,2021/6/30,Oxford/AstraZeneca,6846691
France,2021/6/30,Pfizer/BioNTech,42306735
France,2021/7/1,Johnson&Johnson,576859
France,2021/7/1,Moderna,5223959
France,2021/7/1,Oxford/AstraZeneca,6913502
France,2021/7/1,Pfizer/BioNTech,42836348
France,2021/7/2,Johnson&Johnson,586128
France,2021/7/2,Moderna,5310240
France,2021/7/2,Oxford/AstraZeneca,7005325
France,2021/7/2,Pfizer/BioNTech,43394660
France,2021/7/3,Johnson&Johnson,590859
France,2021/7/3,Moderna,5379488
France,2021/7/3,Oxford/AstraZeneca,7037132
France,2021/7/3,Pfizer/BioNTech,43798760
France,2021/7/4,Johnson&Johnson,591446
France,2021/7/4,Moderna,5404741
France,2021/7/4,Oxford/AstraZeneca,7041500
France,2021/7/4,Pfizer/BioNTech,43965974
France,2021/7/5,Johnson&Johnson,596078
France,2021/7/5,Moderna,5443198
France,2021/7/5,Oxford/AstraZeneca,7076028
France,2021/7/5,Pfizer/BioNTech,44473932
France,2021/7/6,Johnson&Johnson,603601
France,2021/7/6,Moderna,5493924
France,2021/7/6,Oxford/AstraZeneca,7133085
France,2021/7/6,Pfizer/BioNTech,45029008
France,2021/7/7,Johnson&Johnson,610416
France,2021/7/7,Moderna,5541863
France,2021/7/7,Oxford/AstraZeneca,7177019
France,2021/7/7,Pfizer/BioNTech,45580431
France,2021/7/8,Johnson&Johnson,619451
France,2021/7/8,Moderna,5601817
France,2021/7/8,Oxford/AstraZeneca,7238908
France,2021/7/8,Pfizer/BioNTech,46104171
France,2021/7/9,Johnson&Johnson,629577
France,2021/7/9,Moderna,5683206
France,2021/7/9,Oxford/AstraZeneca,7309045
France,2021/7/9,Pfizer/BioNTech,46680494
France,2021/7/10,Johnson&Johnson,634073
France,2021/7/10,Moderna,5730245
France,2021/7/10,Oxford/AstraZeneca,7334720
France,2021/7/10,Pfizer/BioNTech,47090732
France,2021/7/11,Johnson&Johnson,634584
France,2021/7/11,Moderna,5736225
France,2021/7/11,Oxford/AstraZeneca,7338111
France,2021/7/11,Pfizer/BioNTech,47250488
France,2021/7/12,Johnson&Johnson,640289
France,2021/7/12,Moderna,5786424
France,2021/7/12,Oxford/AstraZeneca,7362651
